Page Family,Keywords,Route Pattern,Job To Be Done,Required Sections,Optional Sections,Primary CTA,Evidence Required,Internal Links,Claude Design Prompt Notes,QA Checks
Homepage,"home homepage product website landing marketing overview brand first impression","/","Establish category fit, value proposition, credibility, and the clearest next action","Hero; Outcome Proof; Feature Grid; How It Works; Social Proof; CTA Band","App Preview; FAQ; Comparison","Start free, book demo, download app, or explore product","Product screenshots; customer logos; quantified outcome; clear offer","Feature Overview; Pricing; Use Case; Blog/Resource","Make the first viewport show the product or real outcome, not generic atmosphere. Keep one primary CTA and one secondary exploration path.","H1 states product/category; nav is scannable; CTA visible on mobile; no unsupported metrics"
Feature Overview,"features capabilities product feature overview platform all features","/features","Help evaluators understand the product capability map and choose the relevant feature detail path","Page Hero; Feature Grid; Comparison; Outcome Proof; CTA Band","FAQ; App Preview","Explore a feature or start trial","Screenshots; integration list; capability claims tied to proof","Feature Detail; Pricing; Use Case","Organize features by user job, not internal modules. Show how capabilities connect into workflows.","No feature dumping; each feature has user outcome; links to detail pages work"
Feature Detail,"feature page feature detail capability workflow automation analytics sleep meditation host tools api","/features/[feature-slug]","Prove one capability solves a specific job better than alternatives","Page Hero; Problem Frame; How It Works; Evidence Block; Related Features; CTA Band","FAQ; App Preview; Comparison","Use this feature, start trial, or book demo","Workflow screenshots; before/after state; integration or method proof","Feature Overview; Pricing; Use Case","Use a concrete scenario. Include inputs, workflow, output, and failure/edge states.","No invented screenshots; mobile layout preserves sequence; CTA repeats after evidence"
Pricing,"pricing plans subscription fees packages tiers billing enterprise trial","/pricing","Let buyers compare options, understand value, and take a low-friction next step","Page Hero; Pricing Table; Plan Comparison; Trust Block; FAQ; CTA Band","ROI Proof; Security Notes","Start trial, choose plan, or contact sales","Plan names; exact prices or contact-sales rule; refund/trial terms; security/payment trust","Feature Overview; Customer Story; Contact","Make plan tradeoffs explicit. Avoid hiding critical constraints in small text.","All plan CTAs visible; comparison works on mobile; terms are not ambiguous"
Use Case,"use case solution audience industry team role problem workflow customer segment","/use-cases/[audience-or-problem]","Help a specific audience see their problem, workflow, proof, and next action","Page Hero; Problem Frame; Workflow Steps; Outcome Proof; Relevant Features; CTA Band","Customer Story; FAQ","See solution, start trial, or book demo","Audience-specific pain; measurable outcomes; relevant feature screenshots","Feature Detail; Pricing; Customer Story","Name the audience and their trigger event. Avoid generic all-user language.","Audience is clear in H1; proof is segment-relevant; internal links support evaluation"
Customer Story,"customer story case study testimonial proof review success story logo quantified outcome","/customers/[customer-slug]","Show believable transformation from problem to measurable result","Page Hero; Problem Frame; Solution Story; Outcome Proof; Related Features; CTA Band","Quote Block; Timeline","Read related story or talk to sales","Customer name or anonymized context; before state; after result; quote approval","Use Case; Feature Detail; Pricing","Do not invent logos, quotes, or metrics. Use placeholders when proof is unavailable.","Proof is sourced or marked placeholder; story has before/method/after; CTA matches stage"
About,"about company mission team story values careers press brand trust","/about","Make the organization understandable, credible, and human","Page Hero; Mission Proof; Team/Principles; Trust Block; CTA Band","Timeline; Careers","Learn more, contact, or join team","Founding story; team credentials; values tied to product behavior","Homepage; Blog/Resource; Contact","Keep it specific to why the product exists and how the team makes decisions.","No vague values wall; photos/credentials are accurate; CTA does not interrupt story"
Blog/Resource,"blog resources guide learn seo content education article hub comparison alternatives","/resources","Help visitors learn, compare, and return through searchable educational content","Page Hero; Content Hub; Featured Guides; Category Filters; Newsletter/CTA","Comparison; FAQ","Read guide, subscribe, or explore product","Author/source notes; publish/update dates; topic clusters","Feature Detail; Use Case; Pricing","Structure as a useful library, not a marketing dump. Link guides back to relevant product pages.","Categories are meaningful; empty states exist; article cards fit mobile"
Docs,"docs documentation api sdk install quickstart reference developer example integration","/docs","Help technical users reach a working result quickly","Page Hero; Quickstart; Code Example; Navigation Index; Support CTA","Examples; Changelog","Start quickstart, copy code, or create API key","Runnable examples; version info; auth requirements; support channel","Feature Detail; Pricing; Blog/Resource","Put the fastest successful path above fold. Keep code examples accurate and copyable.","Code blocks fit mobile; nav supports deep linking; examples include prerequisites"
Marketplace Supply,"host seller provider list your space earn supply marketplace listing onboarding","/host","Convince suppliers that joining is safe, profitable, and manageable","Page Hero; Earnings/Outcome Proof; How It Works; Trust/Safety; FAQ; CTA Band","Customer Story; Pricing","List your service, become a host, or start onboarding","Earnings ranges with caveats; host stories; safety policies; fee model","Marketplace Demand; Trust/Safety; Customer Story","Separate supplier concerns from buyer concerns. Show setup effort and control.","No guaranteed earnings unless sourced; trust links visible; onboarding CTA clear"
