Section Intent,Keywords,Layout Pattern,Use When,Avoid When,Copy Inputs,Visual Assets,Interaction Notes,Accessibility Checks
Hero,"hero above fold headline product image first viewport h1 cta","Split value proposition with product proof or full-bleed product/state image","The page must establish context and next action quickly","The image is decorative or hides the product","Audience; trigger problem; promise; primary CTA; secondary CTA","Product screenshot, app state, service photo, or real outcome image","Primary CTA first, secondary CTA lower-emphasis; keep nav predictable","One H1; CTA focus visible; image has alt text; no text/image overlap at 375px"
Page Hero,"page hero feature pricing use case docs section intro","Compact hero with breadcrumb or page label, specific H1, supporting proof line","Internal pages need orientation before details","Using homepage-scale type for every internal page","Page family; specific job; proof signal; primary CTA","Relevant product state or icon set","Anchor links optional for long pages","H1 unique; breadcrumb readable; CTA target clear"
Problem Frame,"problem pain before state challenge user job motivation","Two-column problem/impact or narrative block with concrete before-state","A page needs to show why the capability matters","The problem is generic or fear-based without product relevance","User pain; current workaround; cost of inaction","Before screenshot, diagram, or concise statistic","Use progressive disclosure for detailed pains","Do not invent stats; headings preserve logical order"
Outcome Proof,"proof outcomes metrics logos reviews credibility quantified benefits","Logo/metric strip with short interpretation text","Visitors need confidence before deeper evaluation","Metrics are unsourced or visually overpower the core message","Metric; source; customer segment; claim caveat","Customer logos, verified metric cards, testimonial snippets","Tooltips can explain metric definitions","Claims marked placeholder if not sourced; contrast passes"
Feature Grid,"feature grid capability cards benefits modules product features","Responsive card grid grouped by user job or workflow stage","Multiple capabilities must be scanned quickly","Cards repeat generic copy or use equal visual weight for unequal importance","Feature name; user outcome; proof; link target","Icons, mini screenshots, or workflow thumbnails","Cards link to feature detail pages; avoid hover-only reveals","Cards have stable height; keyboard focus enters links; icons labelled or decorative"
How It Works,"how it works process steps workflow setup onboarding","Numbered process or workflow diagram with input/output states","Users need confidence in the path from start to result","Steps are internal implementation details only","Start state; steps; result; time/effort","Screenshots, step illustrations, flow diagram","Keep 3-5 steps; let secondary detail expand","Step order exposed to screen readers; diagram has text equivalent"
Workflow Steps,"workflow steps use case journey sequence scenario","Scenario timeline with trigger, action, system response, and result","Use-case or feature page must show concrete usage","The workflow is too abstract to build from","Persona; trigger; action; system response; result","Annotated screenshots or simple flow panels","Use anchors for long workflows","Each step has descriptive heading; annotations don't rely on color alone"
Social Proof,"testimonial reviews customers quote story social proof","Quote cards or story previews tied to audience and result","Emotional trust or category credibility is needed","Quotes, logos, or metrics are invented","Quote; role; company/context; result","Customer photo/logo if approved","Link to full customer story when possible","Quotes are real or marked placeholder; cards do not overflow mobile"
Trust Block,"trust security privacy compliance reliability safety","Grouped trust pillars with links to policy or details","Conversion involves risk, money, health, privacy, or marketplace safety","Trust is buried below conversion or uses vague badges","Policies; certifications; support promise; privacy stance","Certification badges, security diagram, policy links","Use accordions for policy detail","No absolute claims without proof; links have accessible names"
Trust/Safety,"trust safety marketplace moderation verification cancellation privacy wellness risk","Policy pillar grid plus process explanation","Marketplaces, wellness, healthcare, finance, or data products need reassurance","Claims imply guaranteed safety or medical outcomes","Verification steps; support process; privacy limits; escalation path","Policy screenshots, moderation flow, support state","Let users drill into details without blocking task","Sensitive claims caveated; emergency/medical disclaimers when applicable"
Pricing Table,"pricing table plans tiers subscription package compare","Plan cards plus comparison table for important limits","Users need to choose between options","Plan limits are hidden or only visible in FAQ","Plan names; prices; included features; limits; trial terms","Plan cards, billing toggle, trust/payment markers","Billing toggle must update all visible prices","Table scrolls or stacks on mobile; CTA per plan has clear label"
